job_id,title,company,description,location_raw,district,province,salary_raw,salary_min,salary_max,salary_currency,sector,experience_raw,experience_min_years,experience_max_years,experience_level,employment_type,work_mode,date_posted,date_scraped,source,is_graduate_friendly,skills_json,qualifications_json
11,Cloud Architect,WSO2,"We are looking for a Cloud Architect to join WSO2 in Colombo. Requirements: Linux, Java, Scrum, AWS, Kubernetes, Node.js, Power BI, CI/CD. Experience: Fresh/Entry Level.",Colombo,Colombo,Western,,,,LKR,Information Technology,Fresh/Entry Level,0,1,entry,Contract,onsite,2026-04-25,2026-05-14 10:58:36.112455,dreamjobs,1,"[""Linux"", ""Java"", ""Scrum"", ""AWS"", ""Kubernetes"", ""Node.js"", ""Power BI"", ""CI/CD""]",[]
12,Data Engineer,Enactor,"We are looking for a Data Engineer to join Enactor in Colombo. Requirements: SQL, Node.js, Java, Scrum, PostgreSQL. Experience: 3-6 years.",Colombo,Colombo,Western,"LKR 98,000 - 119,000",98000.0,119000.0,LKR,Information Technology,3-6 years,3,6,mid,Full-time,remote,2026-02-28,2026-05-14 10:58:36.112495,topjobs,0,"[""SQL"", ""Node.js"", ""Java"", ""Scrum"", ""PostgreSQL""]",[]
13,Cybersecurity Analyst,Zone24x7,"We are looking for a Cybersecurity Analyst to join Zone24x7 in Badulla. Requirements: Docker, MongoDB, Linux, Java. Experience: Fresh/Entry Level.",Badulla,Badulla,Uva,"LKR 332,000 - 405,000",332000.0,405000.0,LKR,Information Technology,Fresh/Entry Level,0,3,entry,Internship,hybrid,2025-12-04,2026-05-14 10:58:36.112536,linkedin,1,"[""Docker"", ""MongoDB"", ""Linux"", ""Java""]",[]
14,Fleet Manager,CICT Colombo,"We are looking for a Fleet Manager to join CICT Colombo in Colombo. Requirements: CILT, Communication, Procurement, Logistics, Supply Chain Management, ERP, Excel. Experience: 5-7 years.",Colombo,Colombo,Western,,,,LKR,Logistics & Transportation,5-7 years,5,7,senior,Full-time,onsite,2026-02-22,2026-05-14 10:58:36.112571,linkedin,0,"[""CILT"", ""Communication"", ""Procurement"", ""Logistics"", ""Supply Chain Management"", ""ERP"", ""Excel""]",[]
15,Travel Consultant,Aitken Spence Hotels,"We are looking for a Travel Consultant to join Aitken Spence Hotels in Matara. Requirements: Front Office, Food & Beverage, Revenue Management. Experience: 2-5 years.",Matara,Matara,Southern,,,,LKR,Tourism & Hospitality,2-5 years,2,5,junior,Full-time,hybrid,2025-11-29,2026-05-14 10:58:36.112605,topjobs,0,"[""Front Office"", ""Food & Beverage"", ""Revenue Management""]",[]
16,Environmental Officer,Ministry of Education,"We are looking for a Environmental Officer to join Ministry of Education in Puttalam. Requirements: BSc, Budgeting, Tamil, Communication, MBA, English, Project Management. Experience: 3-6 years.",Puttalam,Puttalam,North Western,,,,LKR,Government & Public Sector,3-6 years,3,6,mid,Full-time,onsite,2026-04-09,2026-05-14 10:58:36.112641,topjobs,0,"[""BSc"", ""Budgeting"", ""Tamil"", ""Communication"", ""MBA"", ""English"", ""Project Management""]",[]
17,React Developer,Dialog Axiata,"We are looking for a React Developer to join Dialog Axiata in Gampaha. Requirements: Agile, Git, AWS, REST API. Experience: 3-6 years.",Gampaha,Gampaha,Western,,,,LKR,Information Technology,3-6 years,3,6,mid,Internship,onsite,2025-12-03,2026-05-14 10:58:36.112675,linkedin,1,"[""Agile"", ""Git"", ""AWS"", ""REST API""]",[]
18,Planning Officer,Sri Lanka Customs,"We are looking for a Planning Officer to join Sri Lanka Customs in Colombo. Requirements: Tamil, Communication, BSc, Budgeting. Experience: Fresh/Entry Level.",Colombo,Colombo,Western,"LKR 156,000 - 191,000",156000.0,191000.0,LKR,Government & Public Sector,Fresh/Entry Level,0,3,entry,Internship,hybrid,2026-04-03,2026-05-14 10:58:36.112711,dreamjobs,1,"[""Tamil"", ""Communication"", ""BSc"", ""Budgeting""]",[]
19,Loan Officer,DFCC Bank,"We are looking for a Loan Officer to join DFCC Bank in Jaffna. Requirements: Anti-Money Laundering, Compliance, SAP. Experience: 2-4 years.",Jaffna,Jaffna,Northern,"LKR 179,000 - 218,000",179000.0,218000.0,LKR,Banking & Financial Services,2-4 years,2,4,junior,Internship,hybrid,2026-01-06,2026-05-14 10:58:36.112758,topjobs,1,"[""Anti-Money Laundering"", ""Compliance"", ""SAP""]",[]
20,Risk Manager,NSB,"We are looking for a Risk Manager to join NSB in Colombo. Requirements: Credit Analysis, ACCA, Risk Management, Banking Operations. Experience: 3-4 years.",Colombo,Colombo,Western,"LKR 256,000 - 313,000",256000.0,313000.0,LKR,Banking & Financial Services,3-4 years,3,4,mid,Full-time,hybrid,2026-03-08,2026-05-14 10:58:36.112797,dreamjobs,0,"[""Credit Analysis"", ""ACCA"", ""Risk Management"", ""Banking Operations""]",[]
21,Sales Executive,Dialog,"We are looking for a Sales Executive to join Dialog in Colombo. Requirements: Negotiation, Social Media Marketing, Salesforce, Presentation Skills, Communication, Excel. Experience: 3-6 years.",Colombo,Colombo,Western,"LKR 90,000 - 110,000",90000.0,110000.0,LKR,Sales & Marketing,3-6 years,3,6,mid,Full-time,hybrid,2025-11-25,2026-05-14 10:58:36.112838,topjobs,0,"[""Negotiation"", ""Social Media Marketing"", ""Salesforce"", ""Presentation Skills"", ""Communication"", ""Excel""]",[]
22,Structural Engineer,CHEC Port City,"We are looking for a Structural Engineer to join CHEC Port City in Batticaloa. Requirements: Civil Engineering, BSc, Quantity Surveyor, Project Management, Excel, AutoCAD. Experience: 5-6 years.",Batticaloa,Batticaloa,Eastern,,,,LKR,Construction & Engineering,5-6 years,5,6,senior,Full-time,onsite,2026-01-17,2026-05-14 10:58:36.112895,topjobs,0,"[""Civil Engineering"", ""BSc"", ""Quantity Surveyor"", ""Project Management"", ""Excel"", ""AutoCAD""]",[]
23,Radiographer,Ministry of Health,"We are looking for a Radiographer to join Ministry of Health in Colombo. Requirements: GMP, Nursing, Communication, Medical Laboratory, Pharmacy, Clinical Research, Public Health. Experience: 2-5 years.",Colombo,Colombo,Western,"LKR 111,000 - 135,000",111000.0,135000.0,LKR,Healthcare,2-5 years,2,5,junior,Full-time,hybrid,2025-12-02,2026-05-14 10:58:36.112943,topjobs,0,"[""GMP"", ""Nursing"", ""Communication"", ""Medical Laboratory"", ""Pharmacy"", ""Clinical Research"", ""Public Health""]",[]
24,Reservation Agent,Anantara,"We are looking for a Reservation Agent to join Anantara in Gampaha. Requirements: Housekeeping, Customer Service, Front Office. Experience: 5-6 years.",Gampaha,Gampaha,Western,,,,LKR,Tourism & Hospitality,5-6 years,5,6,senior,Full-time,onsite,2026-03-25,2026-05-14 10:58:36.112976,dreamjobs,0,"[""Housekeeping"", ""Customer Service"", ""Front Office""]",[]
25,NOC Engineer,SLT-Mobitel,"We are looking for a NOC Engineer to join SLT-Mobitel in Colombo. Requirements: SQL, Linux, Project Management, Python, AWS. Experience: 2-5 years.",Colombo,Colombo,Western,"LKR 200,000 - 245,000",200000.0,245000.0,LKR,Telecommunications,2-5 years,2,5,junior,Full-time,onsite,2025-12-16,2026-05-14 10:58:36.113013,linkedin,0,"[""SQL"", ""Linux"", ""Project Management"", ""Python"", ""AWS""]",[]
26,Pharmacist,Hemas Hospitals,"We are looking for a Pharmacist to join Hemas Hospitals in Gampaha. Requirements: English, GMP, Pharmacy, Clinical Research, Public Health, Medical Laboratory. Experience: 2-5 years.",Gampaha,Gampaha,Western,"LKR 95,000 - 116,000",95000.0,116000.0,LKR,Healthcare,2-5 years,2,5,junior,Full-time,onsite,2025-11-15,2026-05-14 10:58:36.113051,topjobs,0,"[""English"", ""GMP"", ""Pharmacy"", ""Clinical Research"", ""Public Health"", ""Medical Laboratory""]",[]
27,Business Intelligence Analyst,Pearson Lanka,"We are looking for a Business Intelligence Analyst to join Pearson Lanka in Colombo. Requirements: Power BI, React, PostgreSQL, MongoDB, Java, CI/CD. Experience: 5-6 years.",Colombo,Colombo,Western,"LKR 178,000 - 218,000",178000.0,218000.0,LKR,Information Technology,5-6 years,5,6,senior,Full-time,onsite,2026-01-14,2026-05-14 10:58:36.113090,dreamjobs,0,"[""Power BI"", ""React"", ""PostgreSQL"", ""MongoDB"", ""Java"", ""CI/CD""]",[]
28,Anti-Money Laundering Analyst,Commercial Bank,"We are looking for a Anti-Money Laundering Analyst to join Commercial Bank in Ampara. Requirements: IFRS, CIMA, Auditing, Financial Modeling. Experience: 1-4 years.",Ampara,Ampara,Eastern,"LKR 157,000 - 192,000",157000.0,192000.0,LKR,Banking & Financial Services,1-4 years,1,4,junior,Full-time,onsite,2025-12-12,2026-05-14 10:58:36.113127,gazette,0,"[""IFRS"", ""CIMA"", ""Auditing"", ""Financial Modeling""]",[]
29,Medical Representative,Ministry of Health,"We are looking for a Medical Representative to join Ministry of Health in Polonnaruwa. Requirements: English, Public Health, Medical Laboratory, Pharmacy. Experience: 5-7 years.",Polonnaruwa,Polonnaruwa,North Central,"LKR 215,000 - 262,000",215000.0,262000.0,LKR,Healthcare,5-7 years,5,7,senior,Contract,onsite,2026-03-08,2026-05-14 10:58:36.113165,gazette,0,"[""English"", ""Public Health"", ""Medical Laboratory"", ""Pharmacy""]",[]
30,Fund Accountant,Allianz Lanka,"We are looking for a Fund Accountant to join Allianz Lanka in Galle. Requirements: Financial Modeling, Excel, Compliance, IFRS. Experience: 1-3 years.",Galle,Galle,Southern,"LKR 189,000 - 231,000",189000.0,231000.0,LKR,Banking & Financial Services,1-3 years,1,3,junior,Full-time,onsite,2026-01-24,2026-05-14 10:58:36.113202,gazette,0,"[""Financial Modeling"", ""Excel"", ""Compliance"", ""IFRS""]",[]
31,Machine Learning Engineer,Pearson Lanka,"We are looking for a Machine Learning Engineer to join Pearson Lanka in Gampaha. Requirements: Python, Machine Learning, CI/CD, Linux, Kubernetes, REST API, TypeScript, Power BI. Experience: 5-7 years.",Gampaha,Gampaha,Western,,,,LKR,Information Technology,5-7 years,5,7,senior,Internship,remote,2026-03-01,2026-05-14 10:58:36.113236,topjobs,1,"[""Python"", ""Machine Learning"", ""CI/CD"", ""Linux"", ""Kubernetes"", ""REST API"", ""TypeScript"", ""Power BI""]",[]
32,Environmental Officer,Ministry of Technology,"We are looking for a Environmental Officer to join Ministry of Technology in Gampaha. Requirements: A/L Qualified, English, Excel, Sinhala. Experience: 2-5 years.",Gampaha,Gampaha,Western,"LKR 38,000 - 47,000",38000.0,47000.0,LKR,Government & Public Sector,2-5 years,2,5,junior,Full-time,onsite,2026-01-23,2026-05-14 10:58:36.113276,dreamjobs,0,"[""A/L Qualified"", ""English"", ""Excel"", ""Sinhala""]",[]
33,Staff Nurse,WHO Sri Lanka,"We are looking for a Staff Nurse to join WHO Sri Lanka in Colombo. Requirements: Clinical Research, Communication, Public Health, Medical Laboratory, Nursing, Pharmacy. Experience: 1-3 years.",Colombo,Colombo,Western,,,,LKR,Healthcare,1-3 years,1,3,junior,Full-time,onsite,2026-03-13,2026-05-14 10:58:36.113312,topjobs,0,"[""Clinical Research"", ""Communication"", ""Public Health"", ""Medical Laboratory"", ""Nursing"", ""Pharmacy""]",[]
34,Safety Officer,Delmege Forsyth,"We are looking for a Safety Officer to join Delmege Forsyth in Galle. Requirements: Production Planning, Electrical Engineering, Quality Control, ISO 9001. Experience: Fresh/Entry Level.",Galle,Galle,Southern,,,,LKR,Manufacturing,Fresh/Entry Level,0,1,entry,Full-time,onsite,2026-04-30,2026-05-14 10:58:36.113345,dreamjobs,1,"[""Production Planning"", ""Electrical Engineering"", ""Quality Control"", ""ISO 9001""]",[]
35,Merchandiser,MAS Holdings,"We are looking for a Merchandiser to join MAS Holdings in Kalutara. Requirements: ISO 9001, Supply Chain Management, Quality Control, Excel, Production Planning, Procurement. Experience: 3-5 years.",Kalutara,Kalutara,Western,"LKR 66,000 - 81,000",66000.0,81000.0,LKR,Apparel & Textile,3-5 years,3,5,mid,Full-time,hybrid,2025-12-26,2026-05-14 10:58:36.113383,dreamjobs,0,"[""ISO 9001"", ""Supply Chain Management"", ""Quality Control"", ""Excel"", ""Production Planning"", ""Procurement""]",[]
36,Anti-Money Laundering Analyst,BOC,"We are looking for a Anti-Money Laundering Analyst to join BOC in Kalutara. Requirements: ACCA, Compliance, Auditing, CIMA, Power BI. Experience: 2-5 years.",Kalutara,Kalutara,Western,"LKR 218,000 - 266,000",218000.0,266000.0,LKR,Banking & Financial Services,2-5 years,2,5,junior,Full-time,onsite,2026-04-08,2026-05-14 10:58:36.113425,linkedin,0,"[""ACCA"", ""Compliance"", ""Auditing"", ""CIMA"", ""Power BI""]",[]
37,Event Coordinator,Shangri-La Colombo,"We are looking for a Event Coordinator to join Shangri-La Colombo in Gampaha. Requirements: Revenue Management, Event Management, Communication, Food & Beverage, Hotel Management, Front Office, English, Housekeeping. Experience: 3-6 years.",Gampaha,Gampaha,Western,"LKR 95,000 - 116,000",95000.0,116000.0,LKR,Tourism & Hospitality,3-6 years,3,6,mid,Contract,onsite,2026-03-28,2026-05-14 10:58:36.113464,gazette,0,"[""Revenue Management"", ""Event Management"", ""Communication"", ""Food & Beverage"", ""Hotel Management"", ""Front Office"", ""English"", ""Housekeeping""]",[]
38,Warehouse Manager,Lanka Tiles,"We are looking for a Warehouse Manager to join Lanka Tiles in Colombo. Requirements: ERP, Maintenance Management, Mechanical Engineering, ISO 9001, Electrical Engineering, Production Planning, Lean Manufacturing, AutoCAD. Experience: 1-3 years.",Colombo,Colombo,Western,,,,LKR,Manufacturing,1-3 years,1,3,junior,Full-time,remote,2026-02-06,2026-05-14 10:58:36.113499,dreamjobs,0,"[""ERP"", ""Maintenance Management"", ""Mechanical Engineering"", ""ISO 9001"", ""Electrical Engineering"", ""Production Planning"", ""Lean Manufacturing"", ""AutoCAD""]",[]
39,Quality Assurance Manager,Piramal Glass,"We are looking for a Quality Assurance Manager to join Piramal Glass in Galle. Requirements: Production Planning, Maintenance Management, Lean Manufacturing, Quality Control, ISO 9001. Experience: Fresh/Entry Level.",Galle,Galle,Southern,"LKR 54,000 - 65,000",54000.0,65000.0,LKR,Manufacturing,Fresh/Entry Level,0,1,entry,Full-time,onsite,2026-03-20,2026-05-14 10:58:36.113536,dreamjobs,1,"[""Production Planning"", ""Maintenance Management"", ""Lean Manufacturing"", ""Quality Control"", ""ISO 9001""]",[]
40,Internal Auditor,NSB,"We are looking for a Internal Auditor to join NSB in Colombo. Requirements: Financial Modeling, Excel, Power BI, Auditing, SAP, Credit Analysis, Banking Operations, ACCA. Experience: 1-2 years.",Colombo,Colombo,Western,,,,LKR,Banking & Financial Services,1-2 years,1,2,junior,Part-time,hybrid,2026-01-13,2026-05-14 10:58:36.113572,gazette,0,"[""Financial Modeling"", ""Excel"", ""Power BI"", ""Auditing"", ""SAP"", ""Credit Analysis"", ""Banking Operations"", ""ACCA""]",[]
41,Branch Manager,NDB Bank,"We are looking for a Branch Manager to join NDB Bank in Colombo. Requirements: CIMA, ACCA, Banking Operations, SAP, Auditing, SQL. Experience: Fresh/Entry Level.",Colombo,Colombo,Western,,,,LKR,Banking & Financial Services,Fresh/Entry Level,0,1,entry,Internship,onsite,2026-03-31,2026-05-14 10:58:36.113605,dreamjobs,1,"[""CIMA"", ""ACCA"", ""Banking Operations"", ""SAP"", ""Auditing"", ""SQL""]",[]
42,Full Stack Developer,Wavenet,"We are looking for a Full Stack Developer to join Wavenet in Puttalam. Requirements: Machine Learning, TypeScript, React, Node.js. Experience: Fresh/Entry Level.",Puttalam,Puttalam,North Western,,,,LKR,Information Technology,Fresh/Entry Level,0,2,entry,Internship,onsite,2026-03-17,2026-05-14 10:58:36.113638,topjobs,1,"[""Machine Learning"", ""TypeScript"", ""React"", ""Node.js""]",[]
43,Pattern Maker,Linea Aqua,"We are looking for a Pattern Maker to join Linea Aqua in Gampaha. Requirements: Production Planning, Supply Chain Management, ERP, Procurement, Lean Manufacturing, Quality Control, Six Sigma. Experience: 3-5 years.",Gampaha,Gampaha,Western,,,,LKR,Apparel & Textile,3-5 years,3,5,mid,Full-time,onsite,2026-03-08,2026-05-14 10:58:36.113671,topjobs,0,"[""Production Planning"", ""Supply Chain Management"", ""ERP"", ""Procurement"", ""Lean Manufacturing"", ""Quality Control"", ""Six Sigma""]",[]
44,Plant Manager,Haycarb,"We are looking for a Plant Manager to join Haycarb in Gampaha. Requirements: Quality Control, ERP, ISO 9001, Production Planning, Mechanical Engineering, Maintenance Management, Electrical Engineering, AutoCAD. Experience: Fresh/Entry Level.",Gampaha,Gampaha,Western,"LKR 118,000 - 144,000",118000.0,144000.0,LKR,Manufacturing,Fresh/Entry Level,0,2,entry,Internship,onsite,2026-05-10,2026-05-14 10:58:36.113709,topjobs,1,"[""Quality Control"", ""ERP"", ""ISO 9001"", ""Production Planning"", ""Mechanical Engineering"", ""Maintenance Management"", ""Electrical Engineering"", ""AutoCAD""]",[]
45,Risk Manager,HNB,"We are looking for a Risk Manager to join HNB in Colombo. Requirements: Credit Analysis, IFRS, Auditing, SQL, CIMA. Experience: 2-4 years.",Colombo,Colombo,Western,"LKR 190,000 - 232,000",190000.0,232000.0,LKR,Banking & Financial Services,2-4 years,2,4,junior,Full-time,remote,2026-02-01,2026-05-14 10:58:36.113747,dreamjobs,0,"[""Credit Analysis"", ""IFRS"", ""Auditing"", ""SQL"", ""CIMA""]",[]
46,Planning Officer,Sri Lanka Customs,"We are looking for a Planning Officer to join Sri Lanka Customs in Colombo. Requirements: A/L Qualified, BSc, MBA, English. Experience: 7-10 years.",Colombo,Colombo,Western,"LKR 36,000 - 44,000",36000.0,44000.0,LKR,Government & Public Sector,7-10 years,7,10,senior,Contract,onsite,2026-01-12,2026-05-14 10:58:36.113793,topjobs,0,"[""A/L Qualified"", ""BSc"", ""MBA"", ""English""]",[]
47,Event Coordinator,Cinnamon Hotels,"We are looking for a Event Coordinator to join Cinnamon Hotels in Gampaha. Requirements: Communication, Hotel Management, Customer Service, English, Front Office, Revenue Management, Food & Beverage, Event Management. Experience: 5-7 years.",Gampaha,Gampaha,Western,"LKR 56,000 - 69,000",56000.0,69000.0,LKR,Tourism & Hospitality,5-7 years,5,7,senior,Full-time,onsite,2026-02-27,2026-05-14 10:58:36.113831,linkedin,0,"[""Communication"", ""Hotel Management"", ""Customer Service"", ""English"", ""Front Office"", ""Revenue Management"", ""Food & Beverage"", ""Event Management""]",[]
48,Social Media Manager,Unilever Sri Lanka,"We are looking for a Social Media Manager to join Unilever Sri Lanka in Galle. Requirements: Digital Marketing, Salesforce, CRM, Communication, Social Media Marketing, Brand Management. Experience: 1-3 years.",Galle,Galle,Southern,"LKR 53,000 - 65,000",53000.0,65000.0,LKR,Sales & Marketing,1-3 years,1,3,junior,Full-time,onsite,2026-04-02,2026-05-14 10:58:36.113888,dreamjobs,0,"[""Digital Marketing"", ""Salesforce"", ""CRM"", ""Communication"", ""Social Media Marketing"", ""Brand Management""]",[]
49,Staff Nurse,Asiri Hospital,"We are looking for a Staff Nurse to join Asiri Hospital in Mannar. Requirements: Pharmacy, Public Health, Nursing, English. Experience: 1-4 years.",Mannar,Mannar,Northern,"LKR 212,000 - 260,000",212000.0,260000.0,LKR,Healthcare,1-4 years,1,4,junior,Full-time,onsite,2026-04-19,2026-05-14 10:58:36.113929,dreamjobs,0,"[""Pharmacy"", ""Public Health"", ""Nursing"", ""English""]",[]
50,Civil Engineer,CHEC Port City,"We are looking for a Civil Engineer to join CHEC Port City in Anuradhapura. Requirements: BSc, AutoCAD, Project Management, Quantity Surveyor. Experience: 3-5 years.",Anuradhapura,Anuradhapura,North Central,,,,LKR,Construction & Engineering,3-5 years,3,5,mid,Full-time,onsite,2026-03-15,2026-05-14 10:58:36.113972,topjobs,0,"[""BSc"", ""AutoCAD"", ""Project Management"", ""Quantity Surveyor""]",[]
51,Cutting Supervisor,Brandix,"We are looking for a Cutting Supervisor to join Brandix in Colombo. Requirements: ERP, Procurement, Excel, ISO 9001, Supply Chain Management, Six Sigma. Experience: 7-9 years.",Colombo,Colombo,Western,"LKR 177,000 - 217,000",177000.0,217000.0,LKR,Apparel & Textile,7-9 years,7,9,senior,Contract,onsite,2026-01-30,2026-05-14 10:58:36.114011,linkedin,0,"[""ERP"", ""Procurement"", ""Excel"", ""ISO 9001"", ""Supply Chain Management"", ""Six Sigma""]",[]
52,Management Assistant,Central Bank of Sri Lanka,"We are looking for a Management Assistant to join Central Bank of Sri Lanka in Colombo. Requirements: English, A/L Qualified, Excel, Communication, Tamil, Budgeting, MBA, BSc. Experience: 3-6 years.",Colombo,Colombo,Western,,,,LKR,Government & Public Sector,3-6 years,3,6,mid,Internship,onsite,2026-02-28,2026-05-14 10:58:36.114046,linkedin,1,"[""English"", ""A/L Qualified"", ""Excel"", ""Communication"", ""Tamil"", ""Budgeting"", ""MBA"", ""BSc""]",[]
53,Social Media Manager,Hemas Consumer,"We are looking for a Social Media Manager to join Hemas Consumer in Colombo. Requirements: Negotiation, Content Marketing, SEO, Google Ads, Presentation Skills. Experience: 7-8 years.",Colombo,Colombo,Western,"LKR 195,000 - 238,000",195000.0,238000.0,LKR,Sales & Marketing,7-8 years,7,8,senior,Full-time,hybrid,2025-12-21,2026-05-14 10:58:36.114084,linkedin,0,"[""Negotiation"", ""Content Marketing"", ""SEO"", ""Google Ads"", ""Presentation Skills""]",[]
54,Event Coordinator,Marriott Weligama,"We are looking for a Event Coordinator to join Marriott Weligama in Colombo. Requirements: Food & Beverage, Housekeeping, Customer Service, English, Front Office, Hotel Management. Experience: 3-5 years.",Colombo,Colombo,Western,,,,LKR,Tourism & Hospitality,3-5 years,3,5,mid,Internship,onsite,2025-12-02,2026-05-14 10:58:36.114118,topjobs,1,"[""Food & Beverage"", ""Housekeeping"", ""Customer Service"", ""English"", ""Front Office"", ""Hotel Management""]",[]
55,Cutting Supervisor,Omega Line,"We are looking for a Cutting Supervisor to join Omega Line in Colombo. Requirements: ISO 9001, Supply Chain Management, Six Sigma. Experience: 2-5 years.",Colombo,Colombo,Western,,,,LKR,Apparel & Textile,2-5 years,2,5,junior,Contract,onsite,2025-12-22,2026-05-14 10:58:36.114152,linkedin,0,"[""ISO 9001"", ""Supply Chain Management"", ""Six Sigma""]",[]
56,Cybersecurity Analyst,Wavenet,"We are looking for a Cybersecurity Analyst to join Wavenet in Gampaha. Requirements: REST API, Machine Learning, TypeScript, MongoDB, Git, PostgreSQL. Experience: 5-7 years.",Gampaha,Gampaha,Western,,,,LKR,Information Technology,5-7 years,5,7,senior,Full-time,onsite,2026-05-04,2026-05-14 10:58:36.114184,gazette,0,"[""REST API"", ""Machine Learning"", ""TypeScript"", ""MongoDB"", ""Git"", ""PostgreSQL""]",[]
